cod_ibge,total_familias,renda_media_pc
2203750,162,96.65432098765432
2203800,181,220.64088397790056
2203859,94,220.22340425531914
2203909,2146,281.74557315936624
2204006,162,364.2901234567901
2204105,138,263.4855072463768
2204154,96,204.98958333333334
2204204,226,251.15486725663717
2204303,303,69.16831683168317
2204352,234,197.7905982905983
2204402,276,206.4963768115942
2204501,264,233.74242424242425
2204550,148,89.4054054054054
2204600,136,107.1470588235294
2204659,282,175.14893617021278
2204709,411,171.5523114355231
2204808,310,260.98064516129034
2204907,307,104.53745928338762
2205003,313,147.96485623003196
2205102,293,249.54266211604096
2205151,206,146.5
2205201,623,121.85232744783306
2205250,154,126.97402597402598
2205276,139,182.97122302158274
2205300,171,121.35087719298245
2205359,105,137.66666666666666
2205409,391,95.3145780051151
2205458,162,112.51851851851852
2205508,2024,159.56225296442688
2205516,158,227.1139240506329
2205524,183,217.40983606557376
2205532,181,172.1988950276243
2205540,108,359.06481481481484
2205557,145,127.82758620689656
2205565,151,234.3046357615894
2205573,204,233.3186274509804
2205581,136,232.48529411764707
2205599,192,235.63020833333334
2205607,264,250.6439393939394
2205706,1932,153.97722567287784
2205805,1751,108.96630496858938
2205854,239,172.99163179916317
2205904,148,263.31756756756755
2205953,308,111.1590909090909
2206001,169,204.7337278106509
2206050,197,190.3451776649746
2206100,316,73.91455696202532
2206209,2003,101.28157763354967
2206308,28,359.9642857142857
2206357,194,207.43298969072166
2206407,229,191.31004366812226
2206506,255,188.18823529411765
2206605,334,164.50598802395209
2206654,160,167.2375
2206670,200,231.415
2206696,207,112.67632850241546
2206704,269,192.4981412639405
2206720,255,218.91372549019607
2206753,140,138.85
2206803,318,86.24213836477988
2206902,204,149.7450980392157
2206951,103,99.66990291262135
2207009,2477,292.0492531287848
2207108,111,250.3783783783784
2207207,269,114.04089219330855
2207306,161,196.56521739130434
2207355,109,288.56880733944956
2207405,176,279.9375
2207504,474,156.74683544303798
2207553,165,248.78787878787878
2207603,348,173.2844827586207
2207702,5279,254.8325440424323
2207751,129,76.62790697674419
2207777,188,374.4840425531915
2207793,106,96.69811320754717
2207801,1514,220.38177014531044
2207850,207,134.38647342995168
2207900,2595,144.44739884393064
2207934,99,198.45454545454547
2207959,158,163.86075949367088
2208007,4231,256.122193334909
2208106,365,161.27123287671233
2208205,1344,209.20238095238096
2208304,1861,144.90865126276196
2208403,3247,249.63165999384046
2208502,387,118.50129198966408
2208551,73,148.86301369863014
2208601,97,197.98969072164948
2208650,321,273.1993769470405
2208700,347,193.37752161383284
2208809,1321,144.37907505686127
2208858,168,263.9702380952381
2208874,161,225.93167701863354
2208908,174,216.83333333333334
2209005,244,235.93032786885246
2209104,185,179.4972972972973
2209153,111,229.4144144144144
2209203,170,182.42352941176472
2209302,185,161.76216216216216
2209351,122,286.94262295081967
2209377,163,176.6073619631902
2209401,191,229.53403141361255
2209450,44,173.8409090909091
2209500,166,432.3433734939759
2209559,197,183.28426395939087
2209609,97,372.4020618556701
2209658,200,143.95
2209708,224,269.3125
2209757,90,117.83333333333333
2209807,134,135.46268656716418
2209856,139,126.58273381294964
2209872,195,186.93846153846152
2209906,199,228.15075376884423
2209955,134,250.52985074626866
2209971,306,102.93464052287581
2210003,510,125.6156862745098
2210052,180,131.9611111111111
2210102,144,216.19444444444446
2210201,185,139.44324324324324
2210300,178,151.58426966292134
2210359,184,156.70108695652175
2210375,81,288.0987654320988
2210383,61,249.9016393442623
2210391,102,130.14705882352942
2210409,465,171.56344086021505
2210508,478,143.6192468619247
2210607,2164,218.52772643253235
2210623,143,163.87412587412587
2210631,139,261.76258992805754
2210656,315,163.1174603174603
2210706,402,239.95273631840797
2210805,424,268.51650943396226
2210904,180,252.38333333333333
2210938,146,162.08904109589042
