cod_ibge,total_familias,renda_media_pc,ivs_geral,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_trabalho,score_prioridade,faixa_prioridade,nome_municipio,uf,municipio,n_eventos_aderentes,valor_total_liberado,tem_historico
2102754,204,163.85294117647058,0.584,0.529,0.671,0.553,31.77,MEDIA,Capinzal do Norte,MA,,0,,False
2703304,257,151.87548638132296,0.678,0.523,0.795,0.715,31.68,MEDIA,Inhapi,AL,,0,,False
1720101,119,210.69747899159665,0.518,0.539,0.579,0.436,31.61,MEDIA,São Bento do Tocantins,TO,,0,,False
1502608,54,199.46296296296296,0.491,0.535,0.455,0.483,31.53,MEDIA,Colares,PA,,0,,False
2924900,120,200.3333333333333,0.56,0.535,0.584,0.56,31.52,MEDIA,Planaltino,BA,,0,,False
1720200,349,173.73352435530086,0.472,0.527,0.468,0.422,31.48,MEDIA,São Miguel do Tocantins,TO,,0,,False
3149952,88,279.02272727272725,0.495,0.547,0.466,0.471,31.45,MEDIA,Periquito,MG,,0,,False
3161601,129,247.56589147286823,0.52,0.542,0.499,0.52,31.41,MEDIA,São Geraldo da Piedade,MG,,0,,False
2609402,2760,199.21884057971013,0.508,0.532,0.446,0.547,31.37,MEDIA,Moreno,PE,,0,,False
3127354,77,167.8181818181818,0.466,0.523,0.354,0.522,31.36,MEDIA,Glaucilândia,MG,,0,,False
3136959,197,268.4263959390863,0.539,0.544,0.539,0.533,31.36,MEDIA,Juvenília,MG,,0,,False
1506351,27,307.44444444444446,0.487,0.548,0.447,0.465,31.33,MEDIA,Santa Bárbara do Pará,PA,,0,,False
2100436,1446,231.95919778699863,0.62,0.538,0.686,0.636,31.33,MEDIA,Alto Alegre do Maranhão,MA,,0,,False
3302270,3030,156.45841584158416,0.437,0.518,0.429,0.363,31.31,MEDIA,Japeri,RJ,,0,,False
3126604,141,297.6666666666667,0.493,0.546,0.541,0.392,31.28,MEDIA,Francisco Dumont,MG,,0,,False
2705606,216,186.75,0.64,0.527,0.817,0.576,31.27,MEDIA,Novo Lino,AL,,0,,False
2103752,51,307.8235294117647,0.499,0.546,0.529,0.421,31.22,MEDIA,Davinópolis,MA,,0,,False
2102077,213,178.9718309859155,0.628,0.524,0.608,0.751,31.22,MEDIA,Bom Lugar,MA,,0,,False
3132008,115,152.23478260869564,0.485,0.514,0.475,0.467,31.18,MEDIA,Itacambira,MG,,0,,False
2202505,361,126.4459833795014,0.556,0.501,0.598,0.568,31.16,MEDIA,Caracol,PI,,0,,False
5106315,57,315.0877192982456,0.49,0.544,0.551,0.376,31.07,MEDIA,Novo Santo Antônio,MT,,0,,False
2404606,63,114.5079365079365,0.536,0.491,0.586,0.532,31.03,MEDIA,Ielmo Marinho,RN,,0,,False
1400175,587,187.64395229982964,0.521,0.522,0.561,0.481,30.98,MEDIA,Cantá,RR,,0,,False
2703601,158,173.4620253164557,0.558,0.516,0.614,0.545,30.88,MEDIA,Japaratinga,AL,,0,,False
2111672,100,37.95,0.506,0.326,0.615,0.578,30.86,MEDIA,São Roberto,MA,,0,,False
2303006,214,105.02803738317758,0.542,0.48,0.587,0.559,30.83,MEDIA,Caridade,CE,,0,,False
1507003,1255,155.56972111553785,0.49,0.509,0.477,0.485,30.83,MEDIA,Santo Antônio do Tauá,PA,,0,,False
2201739,234,247.1196581196581,0.597,0.531,0.674,0.585,30.81,MEDIA,Betânia do Piauí,PI,,0,,False
2313500,2939,140.51275944198707,0.535,0.502,0.553,0.549,30.8,MEDIA,Trairi,CE,,0,,False
2110203,1567,112.82131461391194,0.544,0.485,0.59,0.556,30.77,MEDIA,Santa Rita,MA,,0,,False
2609154,1106,123.80379746835445,0.613,0.492,0.636,0.712,30.75,MEDIA,Manari,PE,,0,,False
2100204,1530,122.9078431372549,0.57,0.491,0.629,0.589,30.72,MEDIA,Alcântara,MA,,0,,False
1718899,57,245.66666666666663,0.437,0.529,0.444,0.339,30.71,MEDIA,Santa Rita do Tocantins,TO,,0,,False
1501808,4132,126.69361084220716,0.603,0.493,0.685,0.63,30.71,MEDIA,Breves,PA,,0,,False
2906907,1263,271.49010292953284,0.53,0.532,0.54,0.518,30.68,MEDIA,Caravelas,BA,,0,,False
2701100,226,274.9911504424779,0.623,0.532,0.781,0.557,30.65,MEDIA,Branquinha,AL,,0,,False
1100080,287,313.37282229965155,0.493,0.536,0.518,0.426,30.64,MEDIA,Costa Marques,RO,,0,,False
1300300,1936,110.3305785123967,0.549,0.48,0.6,0.568,30.6,MEDIA,Autazes,AM,,0,,False
2110658,130,171.43076923076924,0.587,0.51,0.707,0.544,30.58,MEDIA,São Domingos do Azeitão,MA,,0,,False
1507201,1310,116.58091603053435,0.545,0.484,0.515,0.635,30.57,MEDIA,São Domingos do Capim,PA,,0,,False
1501600,73,160.42465753424656,0.555,0.506,0.608,0.55,30.57,MEDIA,Bonito,PA,,0,,False
2208502,387,118.50129198966408,0.55,0.484,0.612,0.555,30.5,MEDIA,Porto,PI,,0,,False
2804300,134,214.4701492537313,0.494,0.519,0.491,0.471,30.47,MEDIA,Muribeca,SE,,0,,False
2306553,2035,127.44914004914006,0.519,0.488,0.549,0.52,30.41,MEDIA,Itarema,CE,,0,,False
4207684,166,226.3734939759036,0.462,0.52,0.577,0.289,30.4,MEDIA,Ipuaçu,SC,,0,,False
3109402,1608,280.98942786069654,0.492,0.528,0.512,0.435,30.39,MEDIA,Buritizeiro,MG,,0,,False
1505635,72,283.2638888888889,0.54,0.527,0.554,0.54,30.32,MEDIA,Piçarra,PA,,0,,False
1506906,47,158.25531914893617,0.503,0.5,0.522,0.488,30.28,MEDIA,Santarém Novo,PA,,0,,False
