cod_ibge,total_familias,renda_media_pc,ivs_geral,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_trabalho,score_prioridade,faixa_prioridade
3161601,129,247.56589147286823,0.52,0.542,0.499,0.52,31.41,MEDIA
1300706,1781,217.4553621560921,0.601,0.536,0.729,0.537,31.37,MEDIA
2609402,2760,199.21884057971013,0.508,0.532,0.446,0.547,31.37,MEDIA
3127354,77,167.8181818181818,0.466,0.523,0.354,0.522,31.36,MEDIA
3136959,197,268.4263959390863,0.539,0.544,0.539,0.533,31.36,MEDIA
2100436,1446,231.95919778699863,0.62,0.538,0.686,0.636,31.33,MEDIA
1506351,27,307.44444444444446,0.487,0.548,0.447,0.465,31.33,MEDIA
3302270,3030,156.45841584158416,0.437,0.518,0.429,0.363,31.31,MEDIA
2901304,276,219.15579710144928,0.637,0.535,0.597,0.779,31.3,MEDIA
3126604,141,297.6666666666667,0.493,0.546,0.541,0.392,31.28,MEDIA
2705606,216,186.75,0.64,0.527,0.817,0.576,31.27,MEDIA
2108504,1281,174.68696330991412,0.534,0.523,0.54,0.539,31.24,MEDIA
2103752,51,307.8235294117647,0.499,0.546,0.529,0.421,31.22,MEDIA
2102077,213,178.9718309859155,0.628,0.524,0.608,0.751,31.22,MEDIA
3132008,115,152.23478260869564,0.485,0.514,0.475,0.467,31.18,MEDIA
